[prompt] --member-prompt set but no member declares a system prompt
[route] `auto` is routed per request: email-full -> local, fluids-full -> out
[prune] domain-mt: no tools — declares none
[prune] email-full: ['thread_history', 'sender_stats', 'message']
[prune] fluids-full: ['calc', 'lookup', 'convert']
[prune] kernel-email: ['thread_history', 'sender_stats', 'message']
[prune] kernel-mt: ['calc', 'convert', 'lookup']
[prune] a model not listed above is offered every tool, unpruned
[proxy] :8001 -> https://focused-thereof-diverse-revenues.trycloudflare.com  arity=True enums=False  auth=OFF  log=results/P63-openclaw-live-20260918/traffic.jsonl
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 5 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 5 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 5 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 3 messages · 54 tools
[route] auto -> local (email-full) · 5 messages · 54 tools
[route] auto -> local (email-full) · 7 messages · 54 tools
[route] auto -> local (email-full) · 9 messages · 54 tools
[route] auto -> local (email-full) · 11 messages · 54 tools
[route] auto -> local (email-full) · 13 messages · 54 tools
[route] auto -> local (email-full) · 15 messages · 54 tools
[route] auto -> local (email-full) · 17 messages · 54 tools
[route] auto -> local (email-full) · 19 messages · 54 tools
[route] auto -> local (email-full) · 21 messages · 54 tools
[route] auto -> local (email-full) · 23 messages · 54 tools
[route] auto -> local (email-full) · 25 messages · 54 tools
[route] auto -> local (email-full) · 27 messages · 54 tools
[route] auto -> local (email-full) · 29 messages · 54 tools
[route] auto -> local (email-full) · 31 messages · 54 tools
[route] auto -> local (email-full) · 33 messages · 54 tools
[route] auto -> local (email-full) · 35 messages · 54 tools
[route] auto -> local (email-full) · 37 messages · 54 tools
[route] auto -> local (email-full) · 39 messages · 54 tools
[route] auto -> local (email-full) · 41 messages · 54 tools
[route] auto -> local (email-full) · 43 messages · 54 tools
[route] auto -> local (email-full) · 45 messages · 54 tools
[route] auto -> local (email-full) · 47 messages · 54 tools
[route] auto -> local (email-full) · 49 messages · 54 tools
[route] auto -> local (email-full) · 51 messages · 54 tools
[route] auto -> local (email-full) · 53 messages · 54 tools
[route] auto -> local (email-full) · 55 messages · 54 tools
[route] auto -> local (email-full) · 57 messages · 54 tools
[route] auto -> local (email-full) · 59 messages · 54 tools
[route] auto -> local (email-full) · 61 messages · 54 tools
[route] auto -> local (email-full) · 63 messages · 54 tools
[route] auto -> local (email-full) · 65 messages · 54 tools
[route] auto -> local (email-full) · 67 messages · 54 tools
[route] auto -> local (email-full) · 69 messages · 54 tools
[route] auto -> local (email-full) · 71 messages · 54 tools
[route] auto -> local (email-full) · 73 messages · 54 tools
[route] auto -> local (email-full) · 75 messages · 54 tools
[route] auto -> local (email-full) · 77 messages · 54 tools
[route] auto -> local (email-full) · 79 messages · 54 tools
[route] auto -> local (email-full) · 81 messages · 54 tools
[route] auto -> local (email-full) · 83 messages · 54 tools
[route] auto -> local (email-full) · 85 messages · 54 tools
[route] auto -> local (email-full) · 87 messages · 54 tools
[route] auto -> local (email-full) · 89 messages · 54 tools
[route] auto -> local (email-full) · 91 messages · 54 tools
[route] auto -> local (email-full) · 93 messages · 54 tools
[route] auto -> local (email-full) · 95 messages · 54 tools
[route] auto -> local (email-full) · 97 messages · 54 tools
[route] auto -> local (email-full) · 99 messages · 54 tools
[route] auto -> local (email-full) · 101 messages · 54 tools
[route] auto -> local (email-full) · 103 messages · 54 tools
[route] auto -> local (email-full) · 105 messages · 54 tools
[route] auto -> local (email-full) · 107 messages · 54 tools
[route] auto -> local (email-full) · 109 messages · 54 tools
[route] auto -> local (email-full) · 111 messages · 54 tools
[route] auto -> local (email-full) · 113 messages · 54 tools
[route] auto -> local (email-full) · 115 messages · 54 tools
[route] auto -> local (email-full) · 117 messages · 54 tools
[route] auto -> local (email-full) · 119 messages · 54 tools
[route] auto -> local (email-full) · 121 messages · 54 tools
[route] auto -> local (email-full) · 123 messages · 54 tools
[route] auto -> local (email-full) · 125 messages · 54 tools
[route] auto -> local (email-full) · 127 messages · 54 tools
[route] auto -> local (email-full) · 129 messages · 54 tools
[route] auto -> local (email-full) · 131 messages · 54 tools
[route] auto -> local (email-full) · 133 messages · 54 tools
[route] auto -> local (email-full) · 135 messages · 54 tools
[route] auto -> local (email-full) · 137 messages · 54 tools
[route] auto -> local (email-full) · 139 messages · 54 tools
[route] auto -> local (email-full) · 141 messages · 54 tools
[route] auto -> local (email-full) · 143 messages · 54 tools
[route] auto -> local (email-full) · 145 messages · 54 tools
[route] auto -> local (email-full) · 147 messages · 54 tools
[route] auto -> local (email-full) · 149 messages · 54 tools
[route] auto -> local (email-full) · 151 messages · 54 tools
[route] auto -> local (email-full) · 153 messages · 54 tools
[route] auto -> local (email-full) · 155 messages · 54 tools
[route] auto -> local (email-full) · 157 messages · 54 tools
[route] auto -> local (email-full) · 159 messages · 54 tools
[route] auto -> local (email-full) · 161 messages · 54 tools
[route] auto -> local (email-full) · 163 messages · 54 tools
[route] auto -> local (email-full) · 165 messages · 54 tools
[route] auto -> local (email-full) · 167 messages · 54 tools
[route] auto -> local (email-full) · 169 messages · 54 tools
[route] auto -> local (email-full) · 171 messages · 54 tools
[route] auto -> local (email-full) · 173 messages · 54 tools
[route] auto -> local (email-full) · 175 messages · 54 tools
[route] auto -> local (email-full) · 177 messages · 54 tools
[route] auto -> local (email-full) · 179 messages · 54 tools
